network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Infected_Ever,Number_Days_with_RFID_Data,Average_Adjusted_Group_Size,Eigenvector_Centrality,Feeders_Visited_per_Day,Feeding_Bouts_per_Day,Instances_of_Aggression_per_Day,Number_of_Captures,Num_Unique_Indivs_w_which_Interacted_Aggressively,Relative_Dominance,Sex,Time_on_Feeders_per_Day_in_Minutes,Weighted_Degree
Network_438,2551-79105,20,0.09644617726407367,0.0013674100378402586,16,117,1027,0.15134099616858238,0.5891424805616717,N,42,0.060794443,0.007599971999999999,0.071428571,13.97619048,0.738095238,1,0.30952381,-0.15447930199999999,F,3.767460317,0.2766209
Network_438,2551-79104,22,0.04359791125397257,0.015572368830256375,15,117,1027,0.15134099616858238,0.5891424805616717,N,26,0.06688912400000001,0.002884631,0.076923077,16.76923077,2.461538462,3,0.538461538,0.11629430699999999,M,4.919551282,0.50326102
Network_438,2551-79107,4,0.006565330649970786,0.0,4,117,1027,0.15134099616858238,0.5891424805616717,N,2,0.08180008,4.34e-05,0.5,32.0,1.5,1,1.5,0.553543465,M,8.758333333,0.027355139
Network_438,2551-79106,26,0.025959091070337767,0.02722770458269973,15,117,1027,0.15134099616858238,0.5891424805616717,N,93,0.065211854,0.0021234789999999997,0.010752688,18.76344086,1.8064516130000001,3,0.18279569899999998,0.060442731,F,6.337724015,0.761650352
Network_438,2551-79101,1,0.00020834428901955282,0.0,1,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.074074074,1.76e-06,1.0,1.0,0.0,1,0.0,-0.083304345,F,0.008333333,0.1
Network_438,2581-25035,38,0.18324443755704392,0.020007825178099552,17,117,1027,0.15134099616858238,0.5891424805616717,N,103,0.094561194,0.304496538,0.019417476,32.75728155,5.466019417,2,0.22330097100000001,-0.020450826999999998,M,7.260598705,1.070624248
Network_438,2551-79103,31,0.15852456714059393,0.006447967957560218,17,117,1027,0.15134099616858238,0.5891424805616717,N,96,0.101489668,0.338180265,0.020833333,31.53125,4.71875,1,0.208333333,-0.016855076,F,5.813368055,1.128668354
Network_438,2581-25079,5,0.005969228499243322,0.015892053973013492,4,117,1027,0.15134099616858238,0.5891424805616717,N,5,0.045208227000000004,1.4800000000000002e-05,0.4,3.6,0.2,1,0.2,-0.228565221,F,3.148333333,0.111949517
Network_438,2581-25073,23,0.09145922128775268,0.023924956521112165,15,117,1027,0.15134099616858238,0.5891424805616717,N,18,0.055254599,0.020424992,0.166666667,11.61111111,1.388888889,1,0.5,-0.239439624,M,4.560648148,0.121702564
Network_438,2581-25071,1,4.036128324041486e-18,0.0,1,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.067307692,9.939999999999998e-60,1.0,21.0,0.0,1,0.0,-0.083304345,F,2.458333333,0.166666667
Network_438,2581-25077,2,0.0027897788241052998,0.0,2,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.1,3.22e-06,1.0,3.0,0.0,1,0.0,-0.083304345,M,3.85,0.002255151
Network_438,2581-25076,5,0.020231255888184908,0.0020582156288469944,5,117,1027,0.15134099616858238,0.5891424805616717,Y,5,0.065158589,0.001502326,0.4,2.6,0.6,1,0.6,-0.17382609699999998,M,1.5,0.05461292
Network_438,2581-25075,5,0.00484576613362646,0.0,5,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.146341463,6.659999999999999e-05,1.0,1.0,0.0,1,0.0,-0.083304345,M,0.3,0.044510054
Network_438,2581-25074,1,0.004331223135026315,0.0,1,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.068965517,0.0007128789999999999,1.0,2.0,1.0,2,1.0,0.916695655,F,0.6416666670000001,0.015873016
Network_438,2581-25095,0,-1.1289236256883707e-18,0.0,0,117,1027,0.15134099616858238,0.5891424805616717,Y,1,0.05,0.0,1.0,1.0,0.0,1,0.0,-0.083304345,M,0.083333333,0.0
Network_438,2581-25097,44,0.20306565971548063,0.01571765534513669,17,117,1027,0.15134099616858238,0.5891424805616717,N,103,0.075815046,0.063292254,0.029126213999999997,21.12621359,2.961165049,2,0.242718447,-0.08136049299999999,M,3.279854368,0.6641701179999999
Network_438,2581-25096,27,0.09573738665763161,0.08429757734879252,15,117,1027,0.15134099616858238,0.5891424805616717,N,20,0.059049665999999994,0.006158286999999999,0.2,11.6,0.7,2,0.45,-0.051195659000000004,F,2.5266666669999998,0.25328187399999996
Network_438,2581-25091,18,0.1090922724726985,0.0005237012341546497,17,117,1027,0.15134099616858238,0.5891424805616717,N,4,0.108793044,0.024794562000000003,0.5,24.75,10.75,1,3.25,0.6009347070000001,F,9.370833333,0.16092178
Network_438,2581-25090,44,0.1954812787588588,0.031278382444538136,17,117,1027,0.15134099616858238,0.5891424805616717,Y,73,0.065848688,0.050362809,0.04109589,22.09589041,1.1369863009999999,4,0.356164384,0.031478257,M,5.9738584470000005,0.460125034
Network_438,2581-25098,1,0.0009060514894561426,0.0,1,117,1027,0.15134099616858238,0.5891424805616717,N,2,0.04859335,4.15e-06,0.5,3.0,0.0,1,0.0,-0.083304345,F,1.591666667,0.0016420360000000001
Network_438,2551-79130,6,0.008531257863250666,0.0006241800416676833,6,117,1027,0.15134099616858238,0.5891424805616717,N,4,0.056568589,0.000225413,0.5,2.0,0.25,1,0.25,0.166695655,M,0.42916666700000006,0.066071085
Network_438,2551-79131,24,0.10073819490178289,0.012755573865107396,16,117,1027,0.15134099616858238,0.5891424805616717,N,35,0.075802384,0.011584342,0.057142857000000005,11.08571429,1.5428571430000002,1,0.428571429,0.17143477899999998,F,1.987857143,0.442097258
Network_438,2551-79132,11,0.01393067095298218,0.00015240676728405238,11,117,1027,0.15134099616858238,0.5891424805616717,N,5,0.067836804,0.000734065,0.2,7.2,0.4,1,0.4,-0.373826097,M,1.018333333,0.17354155899999998
Network_438,2551-79133,14,0.02000088306466087,0.0010066601524034145,13,117,1027,0.15134099616858238,0.5891424805616717,N,2,0.09563639199999999,0.001476696,0.5,28.5,10.0,1,5.0,-0.625369672,F,6.845833333,0.323522421
Network_438,2551-79134,3,0.017952506860403124,0.0,3,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.055555556,0.0015629160000000001,1.0,4.0,2.0,1,2.0,0.190391275,M,1.4916666669999998,0.005246038000000001
Network_438,2551-79135,11,0.06669322496872104,7.285206103400027e-05,11,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.046130952,0.010550789,2.0,75.0,11.0,1,5.0,3.190391275,M,26.68333333,0.035913073999999996
Network_438,2551-79136,21,0.026366550206015308,0.02210436499456817,15,117,1027,0.15134099616858238,0.5891424805616717,N,7,0.078195326,0.001704489,0.428571429,10.42857143,2.0,2,1.428571429,-0.7314099759999999,F,2.1,0.501383425
Network_438,2551-79137,24,0.12006596844983136,0.00461323340788171,16,117,1027,0.15134099616858238,0.5891424805616717,Y,17,0.06077336,0.010961306,0.176470588,21.70588235,1.2352941179999999,1,0.647058824,-0.291347841,M,5.68627451,0.262015444
Network_438,2551-79139,13,0.06618195327775113,0.000511634067571161,12,117,1027,0.15134099616858238,0.5891424805616717,N,14,0.050916669000000005,0.003544977,0.14285714300000002,8.785714286000001,0.857142857,1,0.5,-0.251720508,F,1.745238095,0.10272302900000001
Network_438,2281-94490,41,0.19157603061924872,0.02657125959451987,17,117,1027,0.15134099616858238,0.5891424805616717,N,93,0.102423851,0.26691135899999996,0.021505376,29.35483871,5.225806452,3,0.290322581,0.015622717,M,7.906272402000001,1.046704826
Network_438,2281-94491,0,7.096350576922904e-19,0.0,0,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.038461537999999997,0.0,1.0,2.0,0.0,1,0.0,-0.083304345,F,3.4,0.0
