network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Network_98,Ant299,91,0.07692805549467815,0.0021030081217680075,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,299.0,144.941,71.0,125.0,F,F,F, ,3.63636,30.8182,1.18182,43.818182,127.81818,527.72727,0.0
Network_98,Ant296,105,0.0900835783807295,0.0028179144403840946,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,296.0,152.643,134.0,19.0,F,F,F, ,17.4545,29.0909,0.0,50.909091,115.09091000000001,407.27272999999997,0.5455
Network_98,Ant518,66,0.05338109126781492,0.0010057372965195626,60,141,6731,0.6819655521783181,0.27677337351008513,21.0,518.0,140.036,64.0,443.0,F,F,C,C,3.36364,13.7273,0.0,17.272727,62.81818199999999,393.90909,0.3636
Network_98,Ant215,120,0.10317864850910402,0.0044374220886156555,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,215.0,250.15400000000002,183.0,0.0,F,F,C,F,18.7273,9.18182,0.0,145.81818,275.18182,858.54545,0.6364
Network_98,Ant210,95,0.08118487412731683,0.002603889736609889,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,210.0,138.654,40.0,0.0,C,F,F, ,35.8182,3.45455,4.27273,104.36364,213.0,181.45455,0.4545
Network_98,Ant124,123,0.10521237793571861,0.0048280778342617275,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,124.0,165.747,64.0,0.0,C,C,F,F,181.273,0.181818,0.909091,409.72727000000003,291.0,168.09091,12.27
Network_98,Ant218,103,0.08613644099901366,0.0037985048854911234,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,218.0,150.36,57.0,51.0,F,F, , ,10.4545,111.182,0.545455,52.909091000000004,130.72727,443.18182,0.3636
Network_98,Ant219,106,0.09270851163690508,0.002107694292851395,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,219.0,159.289,40.0,0.0,N,N,N,N,121.818,1.54545,2.45455,620.81818,148.81818,61.81818199999999,23.45
Network_98,Ant68,104,0.09119227274690854,0.002031925738059318,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,68.0,146.031,5.0,0.0,N,N, , ,571.0,0.272727,1.09091,462.72727000000003,100.90909,42.181818,8.727
Network_98,Ant60,107,0.0921841843083846,0.002718400330469463,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,60.0,134.082,14.0,0.0,N,N,N,C,419.727,0.545455,22.6364,754.54545,195.45455,63.090908999999996,13.0
